id	country	village_name	cl	X1	X2	X3	X4	X5
590597	UZBEKISTAN	Karshi	1	0.999989504	5.59E-08	4.86E-08	2.31E-06	8.08E-06
591286	UZBEKISTAN	Bukhara	1	0.999863551	0.000103172	3.00E-07	2.05E-05	1.25E-05
591287	UZBEKISTAN	Bukhara	1	0.987200969	0.003381508	1.91E-05	0.009339758	5.87E-05
591288	UZBEKISTAN	Bukhara	1	0.999976971	3.96E-08	7.79E-09	2.29E-05	1.06E-07
591289	UZBEKISTAN	Bukhara	2	0.002844921	0.987343584	3.51E-06	0.009790299	1.77E-05
591290	UZBEKISTAN	Bukhara	1	0.999764499	4.68E-06	6.02E-09	0.000228835	1.98E-06
591291	UZBEKISTAN	Bukhara	1	0.99961852	0.000203079	2.30E-07	1.57E-05	0.000162491
591292	UZBEKISTAN	Bukhara	1	0.998263624	1.41E-06	3.06E-08	0.001734542	3.94E-07
591293	UZBEKISTAN	Bukhara	1	0.99986545	1.49E-06	4.28E-07	6.54E-05	6.72E-05
591295	UZBEKISTAN	Bukhara	1	0.998366866	4.20E-05	1.17E-07	0.001587039	4.01E-06
591297	UZBEKISTAN	Bukhara	4	0.004126644	0.006195948	6.54E-09	0.98967415	3.25E-06
591298	UZBEKISTAN	Bukhara	1	0.979738416	0.007661307	0.000126696	9.33E-08	0.012473487
591299	UZBEKISTAN	Bukhara	4	0.064659277	0.001410475	1.27E-07	0.933915956	1.42E-05
591300	UZBEKISTAN	Bukhara	1	0.988455175	0.000123792	2.25E-07	2.75E-05	0.01139334
591302	UZBEKISTAN		1	0.958946495	8.12E-06	2.48E-05	7.80E-07	0.041019812
591303	UZBEKISTAN	Bukhara	3	9.68E-05	2.15E-05	0.995883351	2.25E-10	0.003998428
591304	UZBEKISTAN	Bukhara	3	5.40E-05	5.58E-05	0.991576371	1.97E-07	0.008313632
591305	UZBEKISTAN	Bukhara	1	0.992593787	0.000195877	1.50E-05	0.001681949	0.005513367
591307	UZBEKISTAN	Bukhara	1	0.99873201	5.25E-05	1.52E-06	0.001112767	0.000101212
591308	UZBEKISTAN	Bukhara	1	0.72903724	0.262157972	0.000616138	0.004214171	0.003974478
591310	UZBEKISTAN	Bukhara	4	3.26E-05	1.51E-07	4.65E-12	0.999967285	1.81E-12
591311	UZBEKISTAN	Bukhara	2	0.191992679	0.436023793	0.005436643	0.366503674	4.32E-05
591312	UZBEKISTAN	Bukhara	4	0.001011331	6.40E-07	1.90E-10	0.99898801	1.83E-08
591314	UZBEKISTAN	Bukhara	1	0.999349243	4.46E-06	1.55E-07	7.81E-06	0.000638336
591316	UZBEKISTAN	Bukhara	3	5.62E-06	2.21E-06	0.999991943	2.07E-07	2.41E-08
591317	UZBEKISTAN	Bukhara	5	0.001516381	2.55E-05	9.45E-05	1.69E-08	0.99836364
591319	ARMENIA	Chambarak	5	0.001133739	0.001111298	0.000135743	1.76E-08	0.997619202
591320	ARMENIA	Chambarak	2	0.003040669	0.969848922	0.008320194	0.000421125	0.018369091
591321	ARMENIA	Chambarak	2	0.033071886	0.959832756	2.31E-05	0.006285263	0.000786975
591322	ARMENIA	Chambarak	5	1.46E-06	0.000456335	0.000524102	3.88E-10	0.999018099
591323	ARMENIA	Chambarak	2	0.000198224	0.967656172	0.000404859	1.78E-07	0.031740566
591325	ARMENIA	Chambarak	2	3.79E-05	0.98961922	0.002084961	1.56E-05	0.008242361
591327	ARMENIA	Chambarak	5	0.000448746	0.000136875	2.01E-05	9.60E-09	0.999394254
591328	ARMENIA	Chambarak	2	6.84E-05	0.617900241	2.73E-05	3.19E-06	0.382000904
591329	ARMENIA	Chambarak	3	4.89E-05	0.014035913	0.985881864	1.71E-08	3.33E-05
591333	ARMENIA	Chambarak	3	7.79E-08	0.000263689	0.99967584	3.95E-08	6.04E-05
591334	ARMENIA	Chambarak	3	2.06E-09	3.77E-06	0.999991954	2.95E-13	4.27E-06
591335	ARMENIA	Chambarak	2	1.60E-06	0.999940455	4.20E-05	2.68E-08	1.59E-05
591336	ARMENIA	Chambarak	5	7.93E-05	1.13E-05	0.004325449	6.69E-12	0.995583913
591337	ARMENIA	Chambarak	3	2.61E-06	0.001060048	0.949955573	1.82E-08	0.048981746
591413	ARMENIA	Chambarak	2	1.31E-05	0.99979872	1.93E-06	0.000153018	3.33E-05
591415	UZBEKISTAN	Karshi	4	0.000748543	0.002166989	3.69E-08	0.9970844	3.12E-08
591418	UZBEKISTAN	Bukhara	1	0.978012098	2.92E-07	1.88E-06	3.45E-06	0.021982286
591419	UZBEKISTAN	Bukhara	1	0.999991293	5.31E-07	6.81E-07	6.27E-06	1.22E-06
591421	GEORGIA	Imereti	3	2.63E-12	6.11E-08	0.99999972	8.70E-16	2.19E-07
591422	GEORGIA	Imereti	3	4.55E-08	7.45E-07	0.998772912	7.69E-13	0.001226297
