id,DIM1,DIM2
590597,-3.2445564,3.93215
591286,-6.128137,1.9148121
591287,-8.315273,8.405324
591288,-7.782982,1.4177077
591289,5.0188756,10.04334
591290,-8.845466,-2.1899464
591291,-5.58885,-0.124608286
591292,8.066577,17.435196
591293,-8.699379,1.0456171
591295,-5.2663374,1.042373
591297,2.9630225,6.7451196
591298,-1.4594958,0.3707021
591299,11.826854,9.30223
591300,-4.8552012,0.57347775
591302,-7.354799,-0.59265685
591303,-9.832895,-3.6739678
591304,-16.25472,5.05724
591305,-6.418542,-2.0000525
591307,-10.653886,0.6855782
591308,-10.840751,0.39388683
591310,-5.957174,11.855846
591311,-15.670113,1.3160728
591312,-3.3641477,12.311014
591314,-7.570473,0.8439369
591316,-15.260242,7.083807
591317,-3.3451371,-6.2616067
591319,1.9551085,-8.190496
591320,5.6388273,-9.589596
591321,8.989639,-5.4636307
591322,6.9499307,-19.274132
591323,9.00056,-10.150423
591325,3.4061785,-6.290041
591327,-6.753618,-7.7265806
591328,4.6732864,-8.1147585
591329,13.974052,-9.564092
591333,14.814863,1.9151632
591334,14.152962,-5.630641
591335,8.176169,-11.257457
591336,-5.7082987,-10.119845
591337,-2.400002,-16.838558
591413,11.527605,-17.665627
591415,1.9730501,10.574408
591418,-6.347184,-2.7336812
591419,-8.399997,2.547688
591421,15.724414,-5.6544228
591422,16.970009,-7.4542627
591423,17.449762,-2.9995418
591429,0.0420351,-5.2633
591430,-7.7617474,-8.392615
591431,16.63993,-2.4772067
591433,12.038191,-13.958653
591434,13.347539,-13.800463
591435,1.4684004,2.1666744
591436,14.310413,-12.55067
591437,12.226316,-15.849623
591438,13.9466095,-14.336799
591439,-4.8246794,-15.360997
591440,-3.0413651,-6.801084
591442,-11.700641,-7.2005744
591443,-9.803772,-9.793555
591444,10.349168,-4.138798
591445,0.0816977,-14.220259
591446,2.2228065,-9.612305
591447,1.5788596,-3.2777886
591449,10.398845,-7.4221606
591450,-6.322484,-11.4565735
591451,-7.354315,-10.574549
591453,-2.8700314,-13.483899
591454,9.646647,15.502596
591455,-10.524423,15.909638
591457,1.8005868,-8.434286
591458,-2.1841455,-1.6580629
591460,-5.129863,-8.506764
591461,6.830996,-12.64121
591462,-8.491184,-10.39553
591463,-3.8737044,-8.686617
591464,-6.7082577,-14.499409
591465,-4.6834393,-11.719275
591467,8.335235,-2.9771283
591468,6.7925386,-17.473858
591469,-5.2454386,-6.7455564
591470,5.0952973,-3.8845446
591472,-5.59763,-13.3208475
591473,3.5440066,-6.5023003
591475,-8.030335,-14.608546
591477,10.197169,-14.16931
591479,2.2378066,-10.973148
591480,4.0353107,-15.279987
591481,5.1188216,-0.27526855
591482,2.6976109,-14.718131
591483,3.1725802,-16.953047
591486,8.817971,-14.7413435
591487,4.0125055,-17.546658
591488,9.259315,-18.817913
591490,5.3252687,-14.731341
591494,4.4520884,-17.716131
591495,-7.997387,-13.539693
591496,-7.613948,-12.825737
591497,-4.1034718,-10.30595
591498,5.944276,-14.166314
591499,8.375612,-15.960939
591501,5.4044476,-12.346877
591502,3.6174402,-14.660893
591503,-2.1968353,-3.978563
591504,2.6009688,-16.564901
591505,2.6431572,-12.897364
591507,2.5677066,-15.512699
591508,5.295658,-13.624009
591509,3.074624,-18.279318
594206,6.528587,-13.959633
594207,0.21573527,-4.7250843
594210,-2.9550257,-9.486566
594213,0.33879414,-16.218513
594216,1.9465228,-5.6353917
594217,-3.6199965,-7.604138
594218,5.2436666,-13.443633
594219,-1.7373992,4.2847743
594221,5.1719675,-15.364003
594222,6.50811,-5.7440405
594223,-3.6316915,-15.053504
594225,2.109475,-6.3826804
594226,-1.8455359,-7.1811833
594227,-6.988861,-9.570344
594228,6.8181357,-15.186572
594229,6.4743013,-14.810443
594230,11.852879,-2.4690928
594231,6.0169044,-10.596423
594232,5.1429753,-4.178757
594233,8.484929,-13.062354
594235,2.2532647,-8.060553
594237,16.567791,-2.442753
594238,5.847546,5.474277
594243,17.124853,-5.117327
594250,6.0389733,-5.5658813
594253,0.9570587,-18.269896
594255,5.0397277,-6.23427
594261,12.966441,-13.191101
594262,13.473097,-6.5627804
594265,12.884182,6.1906595
594269,15.618441,-0.47585064
594273,-0.8440528,-11.431296
594274,4.368283,-9.86229
594275,15.316016,-0.046026982
594276,-2.141547,-17.066072
594277,3.4606476,-11.544902
594278,7.8919554,-8.910337
594279,-3.3590722,-8.457342
594280,6.848934,-7.079553
594281,3.5621634,-4.123675
594282,7.495776,-8.2173605
594283,7.0256968,-19.148994
594285,-9.481637,6.291184
594286,-12.989481,11.135154
594287,-4.724751,9.355177
594289,-9.02353,-2.8325548
594291,11.390718,4.6635065
594292,12.08504,6.3688154
594295,-7.912991,-4.854914
594296,-14.319702,-0.43714115
594297,-7.6772556,10.161937
594298,-10.21198,2.5735135
594299,0.45029432,0.23638813
594300,-12.586886,-3.892778
594301,-6.5198126,9.008592
594304,-12.692796,2.2139049
594306,-14.576102,4.6523747
594307,-7.9221644,11.533999
594310,6.130749,-11.306621
594311,-2.1334512,-9.714218
594312,-12.155071,5.899697
594313,1.0753078,13.831204
594324,-13.651694,3.8796635
594325,-7.393075,-1.0810012
594326,-5.408918,-1.2692944
594327,-8.23287,-3.514937
594328,-9.927445,5.71776
594329,-5.5816383,16.003479
594330,9.319425,-18.76869
594331,-4.429438,2.895041
594332,-4.442793,-0.44716856
594333,-7.443451,2.9094682
594334,-9.135019,-6.0108223
594667,-0.33886108,0.83162344
594668,5.9395456,15.144015
594669,-3.9967008,0.55334014
594671,2.4822607,8.59411
594672,2.1114624,9.963417
594674,-12.983701,-4.6987453
594677,-12.34086,3.911262
594678,5.778526,12.410503
594679,-6.186857,0.097799845
594681,-2.38479,5.470918
594682,-2.7779489,0.48923728
594683,-1.5962476,2.8975513
594684,-13.143019,11.450965
594685,-2.6011188,1.6479673
594689,0.57797164,11.340329
594690,2.9739225,11.356788
594691,-1.2654617,1.7601221
594692,-3.8162112,4.716892
594696,3.02436,11.106453
594698,0.18226354,9.983632
594701,-2.4123645,2.2868016
594702,5.9518027,15.676024
594703,0.75539047,1.678823
594706,-0.26533622,4.99023
594708,1.0284317,10.879261
594711,9.521079,-10.865956
594712,7.027427,-9.156667
594715,15.26159,-5.8199644
594716,-4.9471574,-18.934422
594718,14.314357,-9.482534
594720,3.388107,-2.9253664
594724,-3.2717166,-11.284982
594725,-10.474842,-11.844228
594726,1.3703238,-7.009417
594727,-2.6651413,-5.426388
594730,7.0047116,-6.1488132
594734,0.46812817,-8.073929
594740,6.0007596,-9.679936
594741,7.021411,-4.8928566
594744,9.885904,-9.281991
594843,3.529623,2.36817
595072,7.8122916,6.0250816
595074,3.1144774,16.280386
595075,3.853757,3.6841145
595076,2.7204096,15.503102
595079,2.1539886,18.699455
595080,2.4356384,18.879202
595081,1.8746835,-0.58205456
595083,0.7246267,8.815564
595085,2.6844602,0.6318051
595087,-0.48826364,-3.2090542
595088,5.556013,9.184597
595091,5.4351997,6.2663965
595092,1.201882,-16.40553
595093,-1.5670552,-6.2199354
595094,6.866334,-17.471098
595095,9.599896,-11.501333
595096,3.5350196,-8.430876
595098,7.8916535,0.07932844
595100,8.318576,-7.0864906
595102,0.065101616,-9.463415
595103,10.122487,-9.324187
595104,13.626923,2.3106754
595105,8.24592,10.359274
595106,1.2887688,-20.677353
595107,-2.9990783,11.34004
595109,8.814615,13.060378
595110,5.2017355,6.707103
595111,8.86571,13.055288
595112,0.34602538,-2.401574
595113,1.9367743,4.1642776
595114,-6.0923567,5.8228645
595115,3.26741,6.1621065
595116,8.412054,7.751441
595117,-7.918536,16.302502
595118,6.143816,10.8497
595119,-1.5737509,-1.4081941
595123,4.81264,8.505131
595124,-2.5738935,-1.7792076
595126,-13.811682,-0.6036473
595127,1.7785048,-3.18321
595129,6.134933,2.4884095
595134,-7.045164,20.1254
595135,-9.033685,11.059536
595136,-1.4716877,20.180357
595137,3.5747201,5.7093797
595138,5.9261384,2.4154785
595139,7.4263077,7.688376
595141,10.788939,12.135628
595144,10.227539,6.375283
595145,0.20582257,-2.6845195
595147,7.515594,9.94411
595148,-5.348179,-15.551784
595149,6.695294,7.577357
595152,5.7728524,8.674193
595153,8.333547,8.590424
595154,8.059619,5.037278
595155,-9.611412,-5.9548492
595157,14.39547,10.020994
595159,-3.1696796,13.439826
595160,1.6405842,15.108591
596635,-9.841955,12.293589
596636,-0.11415978,12.167538
596638,-4.9757266,13.09558
596639,-7.1862173,11.007933
596640,4.718135,14.938263
596643,-3.6866982,14.824489
596644,9.760504,9.294537
596645,-5.0836987,6.34376
596647,-9.368212,12.528665
596648,-2.0651684,17.845814
596650,1.3146753,7.716779
596651,-2.5920756,7.285918
596653,-3.6440809,11.700901
596655,2.8047986,12.216806
596657,3.6364012,11.967305
596661,0.6444882,8.771686
596662,0.1066598,7.7098308
596666,-7.7384524,5.27051
596667,6.4593115,14.074943
596671,-0.30118245,11.0209875
596672,2.2982965,12.592382
596675,-7.372952,6.625472
596676,-6.9844646,13.367518
596677,-4.925952,11.50858
596680,-5.9032307,10.680763
596681,0.045083396,12.934785
596682,-1.0801735,8.981822
596683,-3.5662816,15.815947
596684,-4.675029,1.9268289
596685,-10.814195,10.910381
596687,-0.91762125,13.1181345
596688,-1.5649451,19.487587
596689,-2.963612,9.553981
596690,1.4642361,12.043067
596692,1.9789779,11.928679
596693,-1.704693,9.729518
596694,-1.4541696,11.980009
596695,-2.0379648,14.552449
596696,0.15999977,13.67877
596697,-0.3097974,17.27155
596698,-7.933172,19.017538
596699,-4.1830935,12.604357
596700,-12.935985,1.36968
596702,-1.7913473,15.872552
596703,1.1420413,6.38682
596704,-15.967674,6.564016
596705,-2.7039735,3.0677528
596706,-0.71166986,16.596586
596707,-7.4390635,19.057718
596708,-4.46713,6.407184
596709,-5.504497,17.832445
596710,-3.3724153,2.0262923
596713,-4.192073,6.268361
596714,-4.494953,13.673812
596715,-3.6427395,10.992518
596716,-14.642673,8.516384
596718,3.487904,9.646625
596721,-4.3620925,16.410364
596722,-3.4787333,17.262173
596723,-2.4337616,12.315642
596724,-2.0839868,7.516743
596727,-3.9716897,15.734525
596728,-5.971088,0.593611
596729,-5.3822184,4.62374
596730,-4.9860907,11.882073
596732,14.041237,2.1026068
596733,-6.0076866,-1.5581781
596735,-0.096642025,12.798205
596737,0.025415033,15.36804
596738,-1.1844857,13.81401
596739,1.169153,16.867483
596740,-4.5527706,8.150446
596742,-2.6361563,15.899971
596743,-5.351106,15.103745
596744,-2.9049907,14.254868
596745,-0.500311,14.910672
596747,-14.975841,10.744379
596748,12.51495,-2.4849153
596749,1.7016379,6.688775
596750,-1.0440395,10.92353
596751,5.101561,18.114016
596752,3.4385705,13.422567
596753,0.93972754,6.238775
596754,-0.10846972,2.5052443
596757,-4.391748,10.101418
596758,-3.52733,8.785726
596759,-4.832931,3.239466
596760,-7.3410273,2.882777
596763,-2.17937,10.369411
596764,10.602542,2.7317505
596765,-3.2336612,7.561308
596769,-5.7237053,7.3814235
596770,-4.396455,-2.384697
596771,3.9503338,11.782784
596773,-3.9362552,-3.9893975
596774,-0.21048172,-7.6164412
596775,-12.299471,-3.175786
596776,-10.424663,-1.3032361
596777,-10.72905,-1.4653828
596780,8.55183,-5.653579
596782,-8.363198,14.603579
596783,-7.672896,-6.2791963
596784,-4.366755,-3.922438
596785,-0.5111816,3.375192
596787,-10.419347,1.5261385
596788,9.787099,-0.38395166
596789,11.8235,8.954123
596790,-6.0394735,3.4377232
596791,-11.037197,3.5458238
596792,-8.688309,-0.53145117
596793,-10.895101,10.73548
596794,-10.158207,12.794148
596795,-14.261873,9.278814
596796,10.762262,7.152954
596800,-9.676496,1.4856554
596801,11.075387,6.832435
596803,-11.902162,14.131265
596804,11.478544,4.9227343
596812,-5.1913342,13.692354
596814,2.5878882,3.3497822
596817,-4.542014,10.344807
596818,-6.1745443,9.375379
596819,1.6653107,13.5686865
596820,-10.847845,8.028658
596821,-0.64790535,6.6765747
596822,-2.0267868,14.571228
596824,-6.5387053,13.1354885
596825,-4.0197806,3.10023
596826,-8.703942,9.608321
596829,-7.3597293,11.037705
596830,-4.503173,13.805006
596832,-8.223943,3.834671
605405,17.879507,-12.430273
605406,12.525523,-9.30789
605407,9.829294,-12.055379
605408,-4.445832,-10.066298
605411,-2.6695778,-4.749511
605412,17.936184,-11.961118
605413,16.479387,-7.3445826
605414,5.920152,-1.6839128
605415,3.2664032,0.2385337
605416,-7.9515076,-10.412489
605418,11.763102,-11.031893
605419,-2.4477582,-13.823455
605422,0.7919864,-12.146159
605424,1.8187243,-0.3425876
605425,-7.132076,-7.547701
605426,1.6481855,-14.354468
605427,-5.238053,-12.758194
605428,-5.3819094,-12.535285
605429,-2.5287583,-4.8797803
605430,0.42701223,-10.214251
605432,-3.578831,-13.917949
605433,3.8933887,-1.6470122
605440,-8.9600525,-11.915836
605442,-0.37803894,-10.538203
605443,6.2573566,-2.2118545
605444,4.2255087,-11.974732
605445,-6.7764535,-12.241299
605446,-0.9574926,-13.189701
605447,11.876731,-10.891008
605448,2.8024035,-20.981499
605449,1.353922,-12.49295
605450,-2.1108084,-8.047364
605451,5.108668,-17.13586
605453,7.868939,-2.8120053
605454,14.380372,-14.802949
605455,17.618889,-5.772441
605456,16.405134,5.8102646
605457,8.931019,-0.29072523
605458,18.176058,-8.785423
605459,1.6370556,-4.7931156
605461,-5.645504,-4.843131
605464,0.2595584,-8.370865
605665,10.489429,-14.395032
605666,8.225396,-14.131123
605667,8.066726,-0.031940352
605668,-4.810524,-6.0412664
605670,10.3481865,1.7620702
605671,8.432086,-2.327229
605681,1.0059407,-10.494805
605682,-2.7646458,-11.78899
605683,16.370714,-6.260251
605686,3.3767092,-13.35528
605687,-0.10778262,-13.275272
605688,-5.9574494,-6.667411
605689,15.207592,-2.015719
605690,-1.1743238,-12.77173
605694,6.3374724,9.66863
605697,12.654826,-5.124514
605698,8.064069,4.5213833
605699,13.521949,-4.442353
605701,4.0141454,2.7025375
662724,18.183863,-8.780226
