id,DIM1,DIM2
590597,16.393589,9.865284
591286,16.283012,10.260752
591287,17.490437,9.031144
591288,16.943478,10.7067795
591289,15.761001,7.845753
591290,16.05621,11.347984
591291,16.56039,10.703461
591292,16.867247,9.744797
591293,16.987638,11.215698
591295,17.028757,10.199176
591297,15.644547,8.6331835
591298,15.911184,10.183817
591299,16.59503,8.40537
591300,16.696037,10.489237
591302,16.927563,10.353449
591303,15.840793,11.839374
591304,13.297422,8.872424
591305,16.420034,10.607976
591307,16.658445,11.35663
591308,16.027721,11.516704
591310,17.681303,8.533254
591311,13.526254,10.410199
591312,16.790165,8.398746
591314,16.858204,10.488808
591316,13.857196,8.240115
591317,15.344852,11.029018
591319,14.537259,11.191436
591320,13.601618,11.121801
591321,14.821716,10.325973
591322,14.127014,10.96983
591323,12.822046,10.508619
591325,13.699961,11.333258
591327,15.053502,12.246394
591328,13.647589,10.964496
591329,12.659883,9.898587
591333,14.127622,8.6089325
591334,13.175549,9.276164
591335,13.233552,10.71418
591336,14.719974,12.488655
591337,14.270725,11.762179
591413,13.299824,10.515994
591415,16.203707,7.29196
591418,16.408619,10.725737
591419,17.117023,10.67832
591421,12.862633,9.162895
591422,13.146084,9.562667
591423,13.594728,11.767073
591429,14.451173,11.5945835
591430,15.045372,12.117048
591431,13.271941,9.963708
591433,12.232976,10.282333
591434,12.352565,10.118827
591435,15.404865,9.586995
591436,12.717204,9.639116
591437,12.374292,10.204252
591438,12.483856,9.794502
591439,14.021088,12.176577
591440,15.273867,11.280628
591442,12.648795,10.375598
591443,14.999389,12.130348
591444,15.159537,11.4682455
591445,13.256116,11.4798155
591446,14.175388,11.541995
591447,14.849433,11.37036
591449,13.8586235,10.353612
591450,14.559723,12.585617
591451,14.59285,12.280367
591453,14.047909,12.078945
591454,16.789425,9.413605
591455,17.259056,9.787873
591457,14.4343405,11.274404
591458,15.846124,9.10235
591460,14.792984,11.947956
591461,12.743899,11.245375
591462,13.6376505,12.175789
591463,14.712729,11.95208
591464,14.197799,12.40226
591465,14.479169,12.575399
591467,13.849266,9.996246
591468,12.375414,11.197142
591469,14.825548,11.942406
591470,14.887209,10.40233
591472,14.564502,12.584349
591473,13.446248,11.5062475
591475,13.975056,12.493609
591477,12.00635,10.488964
591479,13.714286,10.906255
591480,12.54687,11.481684
591481,14.813841,10.672828
591482,13.058003,11.991771
591483,12.561119,11.796557
591486,12.214059,10.710388
591487,12.350706,11.566328
591488,12.69968,11.819972
591490,12.27652,11.279697
591494,12.245757,11.4100685
591495,14.141689,12.517122
591496,14.398524,12.444648
591497,14.071028,12.311066
591498,12.403006,10.976613
591499,12.133974,10.96511
591501,12.639813,10.76712
591502,12.702226,11.293552
591503,15.033371,10.770531
591504,12.92621,11.836344
591505,12.992501,11.534644
591507,12.863204,11.773018
